epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,684.224,0.81335,0.65016,1.23425,0.87307,0.83079,0.87917,0.65742,0.7948,0.66848,1.20758,0.00159934,0.00159934,0.00159934
43,699.98,0.79152,0.65964,1.19036,0.91846,0.81674,0.88974,0.66558,0.80491,0.63938,1.20528,0.00159769,0.00159769,0.00159769
44,714.329,0.78787,0.6511,1.1924,0.83966,0.83413,0.88877,0.65445,0.83603,0.7328,1.20537,0.00159604,0.00159604,0.00159604
45,728.403,0.78253,0.63587,1.20443,0.79403,0.82324,0.8848,0.67135,0.81004,0.83345,1.18797,0.00159439,0.00159439,0.00159439
46,747.114,0.76398,0.6256,1.171,0.88439,0.81983,0.89167,0.67371,0.76775,0.65057,1.19325,0.00159274,0.00159274,0.00159274
47,759.51,0.75525,0.62046,1.17834,0.86581,0.82756,0.88663,0.66893,0.77292,0.74164,1.16459,0.00159108,0.00159108,0.00159108
48,770.684,0.73235,0.61553,1.15438,0.92728,0.85601,0.89809,0.6795,0.7767,0.59973,1.16506,0.00158943,0.00158943,0.00158943
49,783.271,0.74724,0.62587,1.14713,0.90929,0.86232,0.89682,0.68945,0.77713,0.65651,1.16524,0.00158778,0.00158778,0.00158778
50,804.485,0.74895,0.62499,1.16091,0.90061,0.81458,0.88267,0.64438,0.77956,0.65916,1.15214,0.00158613,0.00158613,0.00158613
51,820.243,0.72433,0.60203,1.13552,0.79991,0.85719,0.88046,0.66453,0.76144,0.75298,1.14807,0.00158448,0.00158448,0.00158448
52,835.062,0.74669,0.6094,1.1548,0.91775,0.82744,0.90298,0.71021,0.70432,0.62824,1.09976,0.00158283,0.00158283,0.00158283
53,848.082,0.73075,0.59869,1.1386,0.93851,0.83701,0.90011,0.69805,0.71702,0.5645,1.12848,0.00158118,0.00158118,0.00158118
54,862.81,0.74028,0.58542,1.14832,0.88742,0.85902,0.91309,0.68447,0.80849,0.64968,1.18269,0.00157953,0.00157953,0.00157953
55,876.13,0.74358,0.58604,1.14577,0.92438,0.83484,0.90848,0.69744,0.77268,0.60334,1.1627,0.00157788,0.00157788,0.00157788
56,889.298,0.71257,0.58009,1.13207,0.85003,0.87474,0.89956,0.69714,0.73204,0.60348,1.12022,0.00157623,0.00157623,0.00157623
57,901.947,0.74646,0.60905,1.15941,0.92675,0.88195,0.91371,0.71026,0.74111,0.55927,1.13986,0.00157458,0.00157458,0.00157458
58,917.2,0.72803,0.58353,1.12663,0.93152,0.85271,0.91588,0.72607,0.68372,0.6065,1.10373,0.00157293,0.00157293,0.00157293
59,932.58,0.72657,0.56643,1.11593,0.88525,0.86641,0.90507,0.69356,0.71959,0.63574,1.12097,0.00157128,0.00157128,0.00157128
60,944.806,0.69875,0.56191,1.10081,0.9391,0.84811,0.91703,0.7087,0.71821,0.55722,1.09961,0.00156963,0.00156963,0.00156963
61,957.243,0.69699,0.54526,1.09955,0.94249,0.8995,0.92235,0.71464,0.71941,0.53104,1.09694,0.00156798,0.00156798,0.00156798
62,969.174,0.70146,0.54793,1.10311,0.90519,0.86505,0.91096,0.71719,0.7072,0.61639,1.09992,0.00156633,0.00156633,0.00156633
63,981.611,0.71125,0.57645,1.10474,0.95839,0.8716,0.92554,0.70643,0.7337,0.57836,1.10758,0.00156468,0.00156468,0.00156468
64,994.247,0.71255,0.55822,1.09335,0.89905,0.8809,0.91337,0.71306,0.6883,0.54852,1.0501,0.00156303,0.00156303,0.00156303
65,1007.03,0.70093,0.5457,1.10376,0.9099,0.90969,0.92508,0.71222,0.7143,0.52929,1.09335,0.00156138,0.00156138,0.00156138
66,1019.48,0.6861,0.53344,1.10001,0.89877,0.89869,0.92437,0.72454,0.71313,0.51853,1.08441,0.00155973,0.00155973,0.00155973
67,1031.96,0.67001,0.53066,1.07578,0.93415,0.84746,0.92228,0.71612,0.67096,0.5607,1.06168,0.00155808,0.00155808,0.00155808
68,1046.16,0.69893,0.55892,1.10614,0.90826,0.90238,0.9334,0.73137,0.74073,0.55716,1.10232,0.00155643,0.00155643,0.00155643
