epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,165.687,0.8617,0.79928,1.27392,0.8176,0.68373,0.75748,0.5721,0.84632,0.79821,1.27355,0.00159934,0.00159934,0.00159934
43,169.55,0.87313,0.81096,1.26702,0.7549,0.73318,0.76406,0.57667,0.83674,0.72066,1.24321,0.00159769,0.00159769,0.00159769
44,173.53,0.85421,0.76726,1.25837,0.78231,0.76783,0.79778,0.59866,0.8563,0.74801,1.21857,0.00159604,0.00159604,0.00159604
45,177.418,0.85351,0.75584,1.25425,0.71918,0.72335,0.77322,0.56354,0.85779,0.94,1.24222,0.00159439,0.00159439,0.00159439
46,181.137,0.83821,0.75506,1.23263,0.74532,0.72079,0.76069,0.56849,0.84312,0.87527,1.24358,0.00159274,0.00159274,0.00159274
47,184.846,0.8675,0.76556,1.2736,0.83442,0.73939,0.81192,0.5908,0.93642,0.77535,1.2767,0.00159108,0.00159108,0.00159108
48,188.5,0.83036,0.71932,1.23452,0.79262,0.78799,0.81618,0.60355,0.86831,0.72864,1.24929,0.00158943,0.00158943,0.00158943
49,192.47,0.8278,0.74011,1.21491,0.82114,0.78342,0.82883,0.639,0.76246,0.68671,1.17682,0.00158778,0.00158778,0.00158778
50,196.394,0.82877,0.7383,1.22508,0.79209,0.83045,0.82022,0.6172,0.80514,0.71513,1.1823,0.00158613,0.00158613,0.00158613
51,199.991,0.81814,0.72569,1.20185,0.8848,0.79569,0.83847,0.60262,0.83803,0.68863,1.19386,0.00158448,0.00158448,0.00158448
52,203.607,0.82328,0.70748,1.22724,0.8687,0.79586,0.83438,0.64028,0.76003,0.6856,1.14832,0.00158283,0.00158283,0.00158283
53,208.167,0.79995,0.71249,1.19979,0.8434,0.77385,0.81628,0.6185,0.7884,0.718,1.18267,0.00158118,0.00158118,0.00158118
54,211.784,0.80285,0.69446,1.20309,0.88245,0.74845,0.81711,0.62354,0.80388,0.74974,1.18254,0.00157953,0.00157953,0.00157953
55,215.687,0.81768,0.71067,1.20215,0.88565,0.77684,0.84171,0.62093,0.81398,0.6851,1.17353,0.00157788,0.00157788,0.00157788
56,219.328,0.79895,0.69904,1.19212,0.87533,0.78957,0.85297,0.65301,0.74977,0.66905,1.14184,0.00157623,0.00157623,0.00157623
57,223.562,0.81419,0.7204,1.21444,0.92641,0.78696,0.85843,0.63776,0.80829,0.66261,1.15581,0.00157458,0.00157458,0.00157458
58,227.153,0.80881,0.69355,1.19184,0.85165,0.75945,0.82962,0.61856,0.85829,0.74888,1.17181,0.00157293,0.00157293,0.00157293
59,231.081,0.80624,0.68165,1.17545,0.88937,0.82816,0.85962,0.65815,0.78085,0.68359,1.18123,0.00157128,0.00157128,0.00157128
60,235.063,0.80205,0.68213,1.16957,0.89885,0.81185,0.86562,0.66581,0.77289,0.6467,1.14306,0.00156963,0.00156963,0.00156963
61,239.035,0.77227,0.65685,1.15446,0.87815,0.81513,0.86087,0.65279,0.7576,0.69343,1.13293,0.00156798,0.00156798,0.00156798
62,242.689,0.76757,0.65276,1.15312,0.83121,0.80831,0.8408,0.61874,0.80066,0.81057,1.17178,0.00156633,0.00156633,0.00156633
63,246.404,0.80084,0.69974,1.17098,0.82927,0.81159,0.84684,0.62688,0.78632,0.7839,1.13996,0.00156468,0.00156468,0.00156468
64,250.023,0.79158,0.66322,1.1619,0.87319,0.80026,0.85948,0.66007,0.71628,0.6293,1.10061,0.00156303,0.00156303,0.00156303
65,253.97,0.77357,0.63994,1.15887,0.91565,0.79941,0.87034,0.66381,0.76744,0.67128,1.13634,0.00156138,0.00156138,0.00156138
66,257.864,0.7712,0.63792,1.15652,0.88254,0.80844,0.85665,0.65466,0.78,0.71197,1.16708,0.00155973,0.00155973,0.00155973
67,261.489,0.77531,0.64903,1.14648,0.90881,0.82563,0.88571,0.69101,0.71312,0.63232,1.09638,0.00155808,0.00155808,0.00155808
68,265.508,0.80114,0.66089,1.18051,0.92706,0.84002,0.89198,0.66083,0.79386,0.63081,1.12852,0.00155643,0.00155643,0.00155643
69,269.371,0.7669,0.61674,1.15318,0.88577,0.83373,0.87621,0.66837,0.73255,0.59019,1.0915,0.00155478,0.00155478,0.00155478
70,273.002,0.76525,0.61893,1.14285,0.91153,0.81495,0.88731,0.67801,0.74313,0.62934,1.10073,0.00155313,0.00155313,0.00155313
71,277.084,0.75639,0.62092,1.1376,0.92669,0.84482,0.89675,0.69884,0.72229,0.58702,1.07712,0.00155148,0.00155148,0.00155148
72,281.008,0.75411,0.62794,1.13907,0.92756,0.82731,0.88505,0.6803,0.70987,0.61582,1.09106,0.00154983,0.00154983,0.00154983
73,284.676,0.77781,0.62551,1.15718,0.89085,0.85449,0.8931,0.69294,0.73433,0.59362,1.09356,0.00154818,0.00154818,0.00154818
74,288.401,0.76804,0.61306,1.12617,0.89029,0.84985,0.89574,0.68893,0.74142,0.61656,1.08768,0.00154653,0.00154653,0.00154653
75,292.031,0.73218,0.59904,1.10845,0.90428,0.86549,0.90687,0.69583,0.7233,0.614,1.06841,0.00154488,0.00154488,0.00154488
76,295.614,0.73078,0.5987,1.10245,0.92254,0.85464,0.89935,0.69655,0.70178,0.58414,1.06724,0.00154323,0.00154323,0.00154323
77,299.464,0.74063,0.61535,1.10717,0.9135,0.86876,0.89744,0.69248,0.71556,0.58432,1.07362,0.00154157,0.00154157,0.00154157
78,303.236,0.75051,0.6312,1.12724,0.89795,0.87776,0.90643,0.69692,0.72334,0.62057,1.11026,0.00153992,0.00153992,0.00153992
79,306.937,0.72596,0.60099,1.10731,0.92226,0.85809,0.91052,0.70176,0.69256,0.58007,1.051,0.00153827,0.00153827,0.00153827
80,310.834,0.74129,0.63075,1.11332,0.92579,0.86786,0.90824,0.71387,0.68799,0.56746,1.05418,0.00153662,0.00153662,0.00153662
81,315.072,0.73826,0.60724,1.1048,0.93188,0.85107,0.91461,0.69816,0.7367,0.58261,1.05791,0.00153497,0.00153497,0.00153497
82,318.752,0.72897,0.58344,1.09104,0.8913,0.86806,0.90805,0.69684,0.74372,0.59045,1.06986,0.00153332,0.00153332,0.00153332
83,322.41,0.74109,0.5882,1.10704,0.92389,0.84618,0.9101,0.70122,0.71388,0.59712,1.08324,0.00153167,0.00153167,0.00153167
